STUDENT ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION ,DESTINATION (including deferrals)
24128,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,F,VCAL only,Lower-middle,Sudan,Yes,Bachelor degree,Bachelor degree
24129,NORTH-EASTERN VICTORIA,Metropolitan,Government,Knox,M,VCE non-VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24130,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Hume,M,VCAL only,Lower-middle,Iraq,Yes,Looking for work,Looking for work
24131,NORTH-EASTERN VICTORIA,Metropolitan,Government,Maroondah,M,VCAL only,Upper-middle,Australia,No,Bachelor degree,Bachelor degree
24132,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Kingston,F,VCE VET,Lower-middle,Australia,Yes,Bachelor degree,Bachelor degree
24133,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,F,VCE VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24134,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Baw Baw,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24135,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Casey,F,VCAL only,Lower-middle,New Zealand,No,Certificates/diplomas,Certificates/diplomas
24136,SOUTH-WESTERN VICTORIA,Metropolitan,Independent,Brimbank,M,VCE non-VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24137,NORTH-WESTERN VICTORIA,Metropolitan,Government,Whittlesea,F,VCE non-VET,Lower-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24138,NORTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wodonga,M,VCE VET,Upper-middle,Australia,No,Looking for work,Looking for work
24139,NORTH-WESTERN VICTORIA,Metropolitan,Government,Whittlesea,F,VCE VET,Lower-middle,Sudan,Yes,Bachelor degree,Bachelor degree
24140,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Hume,M,VCAL only,Lower-middle,Iraq,Yes,Looking for work,Looking for work
24141,NORTH-EASTERN VICTORIA,Metropolitan,Government,Boroondara,F,VCE non-VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24142,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Banyule,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24143,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,F,VCE non-VET,Lowest,Australia,Yes,Certificates/diplomas,Certificates/diplomas
24144,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Stonnington,M,VCE non-VET,Lower-middle,Australia,Yes,Bachelor degree,Bachelor degree
24145,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Hume,M,VCE non-VET,Lowest,Australia,Yes,Certificates/diplomas,Certificates/diplomas
24146,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,M,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24147,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,F,VCE non-VET,Highest,Australia,Yes,Bachelor degree,Bachelor degree
24148,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24149,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,M,VCE non-VET,Lowest,Australia,Prefer not to say,Bachelor degree,Bachelor degree
24150,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,M,VCE non-VET,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
24151,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,F,VCE non-VET,Upper-middle,Australia,Yes,Bachelor degree,Bachelor degree
24152,SOUTH-WESTERN VICTORIA,Metropolitan,Catholic,Hobsons Bay,M,VCE non-VET,Upper-middle,South Africa,No,Bachelor degree,Bachelor degree
24153,NORTH-WESTERN VICTORIA,Metropolitan,Catholic,Banyule,M,VCE VET,Upper-middle,Australia,No,Certificates/diplomas,Certificates/diplomas
24154,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Stonnington,M,VCE non-VET,Highest,Malaysia,Yes,Bachelor degree,Bachelor degree
24155,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Greater Dandenong,F,VCE VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24156,NORTH-WESTERN VICTORIA,Metropolitan,Government,Whittlesea,F,VCE VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
