,Name,Services provided,Cost ($) ex GST 
270,EDUCATION SERVICES AUSTRALIA LIMITED,IT Project Management Services,182162
271,ELCEED CAFE,Education Services,24773
272,ELECTROBOARD SOLUTIONS PTY LTD,IT Services,1302
273,ELGIN ECONOMICS,Professional Services,680
274,ELMO LEARNING SERVICES PTY LTD,"Professional Services (Research, Leadership and Professional Development)",189950
275,EMERALD COMMUNITY HOUSE,Education and Community Development Services,735
276,EMPIRED LTD,IT Project Management Services,120671
277,ENSKILLS LEARNING AND DEVELOPMENT,Education Services,3737
278,ENTERPRISING PARTNERSHIPS PTY LTD,Professional Services,901
279,ERICH IT SOLUTIONS PTY LTD,IT Services,6240
280,ERNST AND YOUNG,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",1218504
281,ERROLS PANTRY BAKEHOUSE,Education Services,45134
282,ESA CONSULTING PTY LTD,Professional Services,17694
283,ESSENTIAL MEDIA COMMUNICATIONS PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",8750
284,ETHICS CENTRE INCORPORATED,Education and Community Development Services,2309
285,ETSEQ IT,IT Services,209812
286,EVENTARC PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",551
287,EVENT-CREW AUSTRALIA PTY LTD,"Accommodation, Event, Functions and Conference",2714
288,EVERY CHILD COUNTS - NUMERACY CONSULTANTS,Training Services,5500
289,EXHIBIT GRAPHIC DESIGN,"Publishing, Printing, Promotions and Communications or Marketing Services",450
290,EXTRAORDINARY ROUTINES,"Publishing, Printing, Promotions and Communications or Marketing Services",1375
291,EXTREME NETWORKS,IT Services,22151
292,EY SWEENEY RESEARCH PTY LTD,"Professional Services (Research, Leadership and Professional Development)",4410
293,EYRES AND ASSOCIATES,"Professional Services (Research, Leadership and Professional Development)",6900
294,FAJR NETWORKS PTY LTD,IT Services,9825
295,FANDANGO CAFE,"Accommodation, Event, Functions and Conference",1582
296,FASTECH PTY LTD,IT Project Management Services,894167
297,FCM TRAVEL SOLUTIONS PTY LTD,"Accommodation, Event, Functions and Conference",1770
298,FENTON STRATEGIC COMMUNICATIONS PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",135183
299,FINSBURY GREEN PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",25107
300,FINXL PROFESSIONAL SERVICES PTY LTD,Professional Services,136936
301,FIRST POINT CONSULTING PTY LTD,"Professional Services (Research, Leadership and Professional Development)",4888
302,FIX A VAC PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1585
303,FIXIT IT SOLUTIONS,IT Services,7275
304,FLANAGAN BROWN GREAVES PTY LTD,Professional Services,103320
305,FORESTWORKS LTD,Education Services,2273
306,FOURSIGHT ARCHITECTS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",76520
307,FRANKLIN COVEY PTY LTD,"Professional Services (Research, Leadership and Professional Development)",33977
308,FRED AND GINGER CATERING PTY LTD,"Accommodation, Event, Functions and Conference",2019
309,FRENCH QUARTER PATISSERIE BOULONGERIE,"Accommodation, Event, Functions and Conference",19507
310,FRESHDESK INC,IT Services,2065
311,FUEL AGENCY PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",85500
312,FUJI XEROX BUSINESSFORCE PTY LIMITED,Professional Services,141929
